iter	RMSE
0	2.623419076
1	2.416084894
2	2.278559364
3	2.189352116
4	2.111898928
5	1.984289472
6	1.923655115
7	1.870397253
8	1.84880794
9	1.81122436
10	1.78331008
11	1.772836548
12	1.754848881
13	1.728408854
14	1.709185874
15	1.69357254
16	1.687550448
17	1.657137009
18	1.644876103
19	1.628061893
20	1.614622597
21	1.604433688
22	1.571925093
23	1.559683134
24	1.53574687
25	1.526609539
26	1.505022817
27	1.489129743
28	1.471022451
29	1.453157042
30	1.443823855
31	1.436275317
32	1.421585348
33	1.40706116
34	1.394216408
35	1.381011794
36	1.369290121
37	1.358349087
38	1.352577419
39	1.341852512
40	1.332494038
41	1.327349291
42	1.321692252
43	1.313695881
44	1.304744103
45	1.30024562
46	1.29544078
47	1.288027415
48	1.283861705
49	1.28006483
