,hex_id,U-Bahn,S-Bahn,DB,R-Bahn,Bus,rank,qrank,population,under_18s,share_under_18s,65yo_and_older,share_65yo_and_older,foreigners,share_foreigners,pop_w_migration_bg,share_pop_w_migration_bg,under_18_mig_bg,share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density,geometry,counts,bike_end,bike_start
0,881f153031fffff,0,1,0,0,3,1,6,22082.0,3810.0,17.25387193,3438.0,15.56924192,5343.0,24.19617788,9851.0,44.58474768,2382.0,62.51968504,12171.0,1.8029742830000002,6785.0,55.7472681,2274.0,18.68375647,590.0,25.94547054,13.00423232,1698.062559,272.0,232.0,3103.0,2905.0,198.0,8858.0,57.7,882.0,5.722070845,80.0,2.859185132,116.0,5.489824894,2724.0,12.33583915,784.0,24.27244582,1416.0,9595.0,30132.0,2485.0,10567.0,16.0,1539.0,14.56420933,71.42878774,34.18114301,1577.0,14.92381944,310.0,8.0,2.0,34.51557093,27.0,9.0,12.0,3.0,6308.0,285.6625306,"{'type': 'Polygon', 'coordinates': [[[9.95834255960921, 53.464847552487214], [9.956348531826283, 53.46063231664485], [9.961804573299549, 53.45789713287625], [9.969254963739113, 53.45937701654093], [9.971249917909127, 53.46359224296448], [9.965793555306961, 53.466327595166796], [9.95834255960921, 53.464847552487214]]]}",8,1056,1028
1,881f153033fffff,0,1,0,0,5,2,10,25860.0,4081.0,15.78112916,2807.0,10.8546017,10238.0,39.59010054,15255.0,58.8996139,3306.0,81.26843658,14607.0,1.684671733,8986.0,61.51845006,2294.0,15.70479907,694.0,30.25283348,3.990648399,6480.149944,377.0,162.0,5108.0,5561.0,-453.0,9910.0,51.8,1417.0,7.246969774,121.0,2.9290728639999997,191.0,8.871342313,4689.0,18.13225058,1374.0,39.25714286,2356.0,9499.0,20773.0,1586.0,12799.0,164.0,284.0,2.218923353,60.26744277,29.82842227,1171.0,9.149152277999999,286.0,16.0,0.0,24.36594203,178.0,34.0,62.0,12.0,4850.0,187.5483372,"{'type': 'Polygon', 'coordinates': [[[9.971249917909127, 53.46359224296448], [9.969254963739113, 53.45937701654093], [9.974710677593, 53.456641091806965], [9.982161666316795, 53.45812022502066], [9.984157546709888, 53.46233544189314], [9.978701512210664, 53.46507153512763], [9.971249917909127, 53.46359224296448]]]}",11,805,782
2,881f153035fffff,0,0,0,0,6,0,0,24540.0,4158.0,16.94376528,5026.0,20.480847600000004,4321.0,17.60798696,9431.0,38.45150243,2392.0,57.65244637,13064.0,1.88556338,6523.0,49.93110839,2500.0,19.13655848,641.0,25.64,8.339131496,2942.752493,275.0,257.0,2626.0,2367.0,259.0,9057.0,57.0,844.0,5.264471058,62.0,2.205620776,137.0,4.778514126,2607.0,10.62347188,781.0,22.42963814,1293.0,11549.0,32988.0,4296.0,12119.0,78.0,3657.0,30.17575708,78.4011057,38.71813366,674.0,5.561514976000001,348.0,8.0,3.0,44.09937888,14.0,9.0,8.0,1.0,8886.0,362.1026895,"{'type': 'Polygon', 'coordinates': [[[9.948898740403513, 53.45915168267236], [9.946905595408383, 53.454936024029664], [9.952361315464975, 53.4522010086118], [9.959810501987821, 53.453681483510564], [9.961804573299549, 53.45789713287625], [9.956348531826283, 53.46063231664485], [9.948898740403513, 53.45915168267236]]]}",6,139,119
3,881f1530e5fffff,0,1,0,0,4,2,10,25860.0,4081.0,15.78112916,2807.0,10.8546017,10238.0,39.59010054,15255.0,58.8996139,3306.0,81.26843658,14607.0,1.684671733,8986.0,61.51845006,2294.0,15.70479907,694.0,30.25283348,3.990648399,6480.149944,377.0,162.0,5108.0,5561.0,-453.0,9910.0,51.8,1417.0,7.246969774,121.0,2.9290728639999997,191.0,8.871342313,4689.0,18.13225058,1374.0,39.25714286,2356.0,9499.0,20773.0,1586.0,12799.0,164.0,284.0,2.218923353,60.26744277,29.82842227,1171.0,9.149152277999999,286.0,16.0,0.0,24.36594203,178.0,34.0,62.0,12.0,4850.0,187.5483372,"{'type': 'Polygon', 'coordinates': [[[9.984157546709888, 53.46233544189314], [9.982161666316795, 53.45812022502066], [9.987617051982696, 53.45538355931048], [9.995068638257951, 53.456861941930164], [9.997065444709701, 53.46107714911932], [9.991609738882198, 53.463813983396754], [9.984157546709888, 53.46233544189314]]]}",10,1156,1160
4,881f1530e7fffff,0,0,0,0,2,0,0,1723.0,408.0,23.67962855,256.0,14.85780615,507.0,29.42542078,718.0,41.74418605,252.0,62.06896552,730.0,2.2082191780000002,296.0,40.54794521,176.0,24.10958904,30.0,17.04545455,10.07031969,171.0968523,17.0,13.0,239.0,220.0,19.0,586.0,52.5,52.0,4.585537919,7.0,3.03030303,8.0,3.8834951460000005,278.0,16.13464887,113.0,33.93393393,91.0,693.0,32295.0,431.0,567.0,1.0,468.0,82.53968254,102.8024691,33.82994777,0.0,0.0,484.0,0.0,1.0,25.18518519,0.0,0.0,0.0,0.0,706.0,409.7504353,"{'type': 'Polygon', 'coordinates': [[[9.997065444709701, 53.46107714911932], [9.995068638257951, 53.456861941930164], [10.000523695167354, 53.45412453523309], [10.007975878261002, 53.45560216711596], [10.009973610606787, 53.459817364489574], [10.004518234019642, 53.462554939820514], [9.997065444709701, 53.46107714911932]]]}",2,133,138
5,881f1530edfffff,0,0,0,0,7,0,0,25860.0,4081.0,15.78112916,2807.0,10.8546017,10238.0,39.59010054,15255.0,58.8996139,3306.0,81.26843658,14607.0,1.684671733,8986.0,61.51845006,2294.0,15.70479907,694.0,30.25283348,3.990648399,6480.149944,377.0,162.0,5108.0,5561.0,-453.0,9910.0,51.8,1417.0,7.246969774,121.0,2.9290728639999997,191.0,8.871342313,4689.0,18.13225058,1374.0,39.25714286,2356.0,9499.0,20773.0,1586.0,12799.0,164.0,284.0,2.218923353,60.26744277,29.82842227,1171.0,9.149152277999999,286.0,16.0,0.0,24.36594203,178.0,34.0,62.0,12.0,4850.0,187.5483372,"{'type': 'Polygon', 'coordinates': [[[9.980697349472056, 53.469286338424574], [9.978701512210664, 53.46507153512763], [9.984157546709888, 53.46233544189314], [9.991609738882198, 53.463813983396754], [9.993606502436768, 53.46802877700083], [9.988150147580452, 53.47076503881877], [9.980697349472056, 53.469286338424574]]]}",7,567,553
6,881f1531d1fffff,0,0,0,0,2,0,0,17437.0,3059.0,17.54315536,3354.0,19.23496014,4121.0,23.63365258,7740.0,44.38582406,2079.0,68.36566919,9455.0,1.841671074,5003.0,52.91380222,1802.0,19.058699100000002,484.0,26.8590455,3.42282301,5094.3329380000005,232.0,236.0,2013.0,1723.0,290.0,6702.0,58.6,693.0,6.032381616,56.0,2.9106029110000002,110.0,5.735140772,2426.0,13.91294374,772.0,29.749518300000002,1139.0,7823.0,25518.0,2049.0,8689.0,196.0,1452.0,16.71078375,69.05236506,34.40935941,886.0,10.19680055,324.0,11.0,1.0,34.64755078,23.0,12.0,5.0,2.0,5494.0,315.0771348,"{'type': 'Polygon', 'coordinates': [[[9.97817074534467, 53.449688954624804], [9.976175704657532, 53.445472901168884], [9.981630121346443, 53.44273583149121], [9.989079899031392, 53.44421464682581], [9.99107586547285, 53.448430690749696], [9.985621128529607, 53.45116792889564], [9.97817074534467, 53.449688954624804]]]}",2,300,363
7,881f1531dbfffff,0,0,0,0,3,0,0,17437.0,3059.0,17.54315536,3354.0,19.23496014,4121.0,23.63365258,7740.0,44.38582406,2079.0,68.36566919,9455.0,1.841671074,5003.0,52.91380222,1802.0,19.058699100000002,484.0,26.8590455,3.42282301,5094.3329380000005,232.0,236.0,2013.0,1723.0,290.0,6702.0,58.6,693.0,6.032381616,56.0,2.9106029110000002,110.0,5.735140772,2426.0,13.91294374,772.0,29.749518300000002,1139.0,7823.0,25518.0,2049.0,8689.0,196.0,1452.0,16.71078375,69.05236506,34.40935941,886.0,10.19680055,324.0,11.0,1.0,34.64755078,23.0,12.0,5.0,2.0,5494.0,315.0771348,"{'type': 'Polygon', 'coordinates': [[[9.987617051982696, 53.45538355931048], [9.985621128529607, 53.45116792889564], [9.99107586547285, 53.448430690749696], [9.998526845890025, 53.449908914492084], [10.000523695167354, 53.45412453523309], [9.995068638257951, 53.456861941930164], [9.987617051982696, 53.45538355931048]]]}",3,161,141
8,881f15324bfffff,0,0,0,0,3,0,0,15281.0,3132.0,20.49604084,3190.0,20.87559715,1854.0,12.13271383,3842.0,25.13246549,1119.0,35.78509754,7214.0,2.109093429,3014.0,41.77987247,1834.0,25.42278902,255.0,13.904034900000001,5.946814357,2569.611069,204.0,139.0,1870.0,1629.0,241.0,4702.0,50.1,234.0,2.491482112,14.0,1.0582010579999999,44.0,2.722772277,462.0,3.023362345,138.0,5.113004817,219.0,7056.0,108258.0,2748.0,7020.0,58.0,2357.0,33.57549858,112.96695159999999,51.89634186,157.0,2.2364672359999997,1481.0,13.0,3.0,82.11284514,42.0,8.0,10.0,1.0,6606.0,432.30155089999994,"{'type': 'Polygon', 'coordinates': [[[9.903822205224204, 53.549420682353926], [9.901829634769703, 53.54521040195993], [9.907293793515628, 53.54248283347236], [9.914750846739244, 53.543965376842586], [9.91674434656197, 53.54817564783503], [9.911279863847236, 53.55090338488355], [9.903822205224204, 53.549420682353926]]]}",3,1403,1507
9,881f153251fffff,0,0,0,0,4,0,0,29408.0,4486.0,15.25435256,3783.0,12.86384657,5757.0,19.57630577,11150.0,37.93291148,2346.0,52.55376344,18059.0,1.6527493219999998,11314.0,62.65020212,2928.0,16.21352234,910.0,31.07923497,2.717872695,10820.22718,390.0,211.0,3453.0,3339.0,114.0,12181.0,56.3,1544.0,7.117175256,112.0,4.286261003,263.0,8.620124549,3611.0,12.27897171,816.0,20.75807683,2196.0,14861.0,30833.0,1611.0,16313.0,219.0,187.0,1.1463250170000001,63.31343101,35.12078346,2320.0,14.22178631,1465.0,27.0,3.0,39.5480226,191.0,48.0,42.0,9.0,6708.0,228.101197,"{'type': 'Polygon', 'coordinates': [[[9.929666764577918, 53.5469291204723], [9.927672335550398, 53.54271885901373], [9.933135841683532, 53.53998980727159], [9.940594099897634, 53.541470848317296], [9.942589457966156, 53.54568110010972], [9.937125628834064, 53.54841032054732], [9.929666764577918, 53.5469291204723]]]}",4,786,752
