,hex_id,bike_end,bike_start,geometry
0,891f1530317ffff,320,311,"{'type': 'Polygon', 'coordinates': [[[9.963379698271506, 53.46530262670022], [9.96358931642415, 53.46370758641753], [9.96621267312257, 53.46313749895491], [9.968626525857523, 53.464162440497105], [9.968417026197832, 53.46575749642496], [9.965793555306961, 53.466327595166796], [9.963379698271506, 53.46530262670022]]]}"
1,891f1530323ffff,476,472,"{'type': 'Polygon', 'coordinates': [[[9.974082656251268, 53.46142681885146], [9.974292006874025, 53.459831619197224], [9.976915241222764, 53.45926122409087], [9.979329239089413, 53.46028601734915], [9.979120006967836, 53.461881232637964], [9.976496658475174, 53.46245163903528], [9.974082656251268, 53.46142681885146]]]}"
2,891f1530327ffff,400,392,"{'type': 'Polygon', 'coordinates': [[[9.979120006967836, 53.461881232637964], [9.979329239089413, 53.46028601734915], [9.981952508701566, 53.459715512166916], [9.984366660318013, 53.46074021097608], [9.984157546709897, 53.46233544189313], [9.981534162968577, 53.46290595837416], [9.979120006967836, 53.461881232637964]]]}"
3,891f153032fffff,329,310,"{'type': 'Polygon', 'coordinates': [[[9.976915241222764, 53.45926122409087], [9.977124517337172, 53.45766595257705], [9.979747672822315, 53.45709545868771], [9.982161666316795, 53.45812022502066], [9.981952508701566, 53.459715512166916], [9.979329239089413, 53.46028601734915], [9.976915241222764, 53.45926122409087]]]}"
4,891f153033bffff,736,717,"{'type': 'Polygon', 'coordinates': [[[9.969045494627425, 53.460972200554274], [9.969254963739113, 53.45937701654093], [9.97187816278471, 53.45880673150328], [9.974292006874025, 53.459831619197224], [9.974082656251268, 53.46142681885146], [9.97145934304701, 53.461997115172245], [9.969045494627425, 53.460972200554274]]]}"
5,891f1530353ffff,139,119,"{'type': 'Polygon', 'coordinates': [[[9.948898740403497, 53.459151682672385], [9.949108683347907, 53.4575565612858], [9.95173174078355, 53.45698671645121], [9.954144969489072, 53.458011981752705], [9.953935144984435, 53.459607118805465], [9.951311973331253, 53.460176974891894], [9.948898740403497, 53.459151682672385]]]}"
6,891f1530e4bffff,756,768,"{'type': 'Polygon', 'coordinates': [[[9.984784857040324, 53.45754962105607], [9.984993940155954, 53.45595426205478], [9.987617051982696, 53.45538355931048], [9.990031194785983, 53.456408204266154], [9.989822230179772, 53.458003578891415], [9.9871990042576, 53.45857429293837], [9.984784857040324, 53.45754962105607]]]}"
7,891f1530e77ffff,133,138,"{'type': 'Polygon', 'coordinates': [[[10.002103467678808, 53.46153061894273], [10.00231215117472, 53.459935269329954], [10.004935482454206, 53.4593642249928], [10.00735024428773, 53.460388518937776], [10.00714167935232, 53.46198388415136], [10.004518234019642, 53.462554939820514], [10.002103467678808, 53.46153061894273]]]}"
8,891f1530ec3ffff,301,301,"{'type': 'Polygon', 'coordinates': [[[9.983530144888705, 53.4671208784627], [9.983739288995965, 53.46552577563727], [9.986362786868575, 53.464955247851606], [9.98877725476404, 53.465979811582265], [9.988568229198835, 53.467574930027574], [9.985944617192821, 53.46814546912373], [9.983530144888705, 53.4671208784627]]]}"
9,891f1530ecbffff,266,252,"{'type': 'Polygon', 'coordinates': [[[9.981324974849386, 53.464501117433485], [9.981534162968577, 53.46290595837416], [9.984157546709897, 53.46233544189313], [9.98657185646002, 53.4633600731682], [9.986362786868575, 53.464955247851606], [9.983739288995965, 53.46552577563727], [9.981324974849386, 53.464501117433485]]]}"
10,891f1531d13ffff,300,363,"{'type': 'Polygon', 'coordinates': [[[9.97817074534467, 53.449688954624804], [9.97837996043841, 53.44809342696351], [9.981002729991742, 53.44752275809206], [9.983416398537136, 53.44854760559819], [9.983207301909948, 53.450143148896025], [9.9805844182676, 53.45071382905256], [9.97817074534467, 53.449688954624804]]]}"
11,891f1531dabffff,161,141,"{'type': 'Polygon', 'coordinates': [[[9.98824404737512, 53.45059713867298], [9.98845302552347, 53.44900157974496], [9.99107586547285, 53.448430690749696], [9.993489841330177, 53.44945534938313], [9.99328098167289, 53.451050923935036], [9.990658027664002, 53.451621824231005], [9.98824404737512, 53.45059713867298]]]}"
12,891f1532537ffff,1450,1513,"{'type': 'Polygon', 'coordinates': [[[9.947632456392444, 53.54613717643458], [9.947842713913861, 53.54454433031271], [9.950469320224512, 53.54397584087942], [9.952885783541795, 53.54500018623128], [9.95267564477855, 53.54659304796991], [9.950048923936599, 53.5471615487413], [9.947632456392444, 53.54613717643458]]]}"
13,891f153253bffff,736,729,"{'type': 'Polygon', 'coordinates': [[[9.940383679622125, 53.543063735104624], [9.940594099897634, 53.541470848317296], [9.943220556056213, 53.54090248040766], [9.945636706479917, 53.54192698796232], [9.945426404935832, 53.543519890376864], [9.942799834233384, 53.54408826961092], [9.940383679622125, 53.543063735104624]]]}"
14,891f1532583ffff,2273,1895,"{'type': 'Polygon', 'coordinates': [[[9.929034637690432, 53.55170704598836], [9.929245356907089, 53.55011444688683], [9.931872128599753, 53.54954647446289], [9.934288295684128, 53.55057108982525], [9.934077695206915, 53.55216370456255], [9.931450808902596, 53.55273168830312], [9.929034637690432, 53.55170704598836]]]}"
15,891f1532587ffff,2722,2512,"{'type': 'Polygon', 'coordinates': [[[9.934077695206915, 53.55216370456255], [9.934288295684128, 53.55057108982525], [9.936915103100263, 53.5500030072075], [9.939331424632734, 53.55102752800395], [9.939120942907296, 53.552620158370715], [9.936494020894326, 53.55318825231293], [9.934077695206915, 53.55216370456255]]]}"
16,891f153258fffff,786,752,"{'type': 'Polygon', 'coordinates': [[[9.931872128599753, 53.54954647446289], [9.932082773071018, 53.54795380343636], [9.934709465892446, 53.54738573213716], [9.937125628834064, 53.54841032054732], [9.936915103100263, 53.5500030072075], [9.934288295684128, 53.55057108982525], [9.931872128599753, 53.54954647446289]]]}"
17,891f1532593ffff,1119,1108,"{'type': 'Polygon', 'coordinates': [[[9.92619699316587, 53.55386744670867], [9.926407787134695, 53.55227491953451], [9.929034637690432, 53.55170704598836], [9.931450808902596, 53.55273168830312], [9.931240133675196, 53.55432423111519], [9.928613168490918, 53.554892115976], [9.92619699316587, 53.55386744670867]]]}"
18,891f153259bffff,413,403,"{'type': 'Polygon', 'coordinates': [[[9.923991770425218, 53.551250182668916], [9.924202608368919, 53.549657599209446], [9.926829344298316, 53.5490897369721], [9.929245356907089, 53.55011444688683], [9.929034637690432, 53.55170704598836], [9.926407787134695, 53.55227491953451], [9.923991770425218, 53.551250182668916]]]}"
19,891f15325abffff,523,468,"{'type': 'Polygon', 'coordinates': [[[9.93975235735383, 53.54784213905489], [9.939962808350954, 53.54624938047424], [9.942589457966156, 53.54568110010972], [9.945005771143922, 53.54670556699891], [9.944795438894605, 53.54829834120478], [9.94216867471641, 53.548866632897635], [9.93975235735383, 53.54784213905489]]]}"
20,891f15325b7ffff,1683,1622,"{'type': 'Polygon', 'coordinates': [[[9.944164380724217, 53.553076407392105], [9.944374743685481, 53.55148376140217], [9.947001622428838, 53.55091545837508], [9.949418252774993, 53.55193978999916], [9.949208008590228, 53.553532451605946], [9.946581015279541, 53.55410076597315], [9.944164380724217, 53.553076407392105]]]}"
21,891f15325dbffff,1403,1507,"{'type': 'Polygon', 'coordinates': [[[9.914539802188592, 53.5455580572027], [9.914750846739244, 53.543965376842586], [9.917377317589915, 53.54339764736888], [9.919792858523337, 53.54442258696749], [9.919581932658627, 53.54601528298432], [9.91695534717127, 53.54658302374721], [9.914539802188592, 53.5455580572027]]]}"
