name,population,Under_18s,Share_under_18s,65yo_and_older, share_65yo_and_older,Foreigners,share_foreigners,Pop_w_migration_bg,share_Pop_w_migration_bg,under_18_mig_bg,Share_under_18_mig_bg,hh,ppl_per_hh,single_per_hh,share_single_per_hh,hh_w_chld,share_hh_w_chld,sngl_parent,share_sngl_parent,area_km,pop_dnsty,births,deaths,immigration,moving_away,migr_balance,social_insur,employment_rate,unemployed,share_unemployed,yng_unemployed,share_yng_unemployed,old_unemployed,share_old_unemployed,sgb_2,share_sgb_2,under_15_min_security,share_under_15_min_security,Community_of_needs_sgb_2,taxpayers,total_income_per_taxpayer,residental_bldngs,apartments,ready_to_move_apt,apt_in_houses,share_apt_in_houses,apt_size,living_space_per_inhab,social_housing,share_social_housing,land_prices,kita_preschool,primary_schools,share_high_school_stud,doctors,practitioners,dentists,pharmacies,private_cars,car_density
Alsterdorf,15031,2484,16.52584658,2837,18.87432639,2026,13.47881046,4094,27.26243591,1036,41.74053183,8109,1.806264644,4352,53.6687631,1479,18.23899371,359,24.27315754,3.155241052,4763.819865,168,157,2100,1524,576,5421,54.8,390,3.872889772,32,2.033036849,67,3.890824623,1109,7.37808529,332,15.63088512,539,6302,52426,1995,7728,125,1312,16.97722567,77.60610766,39.90020624,588,7.608695652,886,11,2,56.08391608,38,9,10,4,5209,346.5504624
Altengamme,2246,418,18.61086376,439,19.54585931,92,4.096170971,209,9.317877842,64,15.38461538,1017,2.226155359,337,33.1366765,250,24.58210423,51,20.4,15.60817234,143.8989749,19,30,164,140,24,888,60.3,33,2.264927934,0,0,5,1.506024096,68,3.02760463,22,6.285714286,36,1060,47341,643,909,1,698,76.78767877,107.5379538,43.52270703,4,0.4400440044,230,1,1,48.17518248,1,1,0,0,1270,565.4496883
Altenwerder,746,155,20.77747989,103,13.80697051,68,9.115281501,127,17.04697987,27,17.53246753,386,1.968911917,187,48.44559585,86,22.27979275,27,31.39534884,16.69819445,44.67548885,6,7,77,77,0,294,56.8,21,4.069767442,3,3.703703704,3,2.678571429,63,8.445040214,23,18.11023622,29,361,34544,226,328,0,242,73.7804878,99.4054878,43.70643432,0,0,229,1,0,34.04255319,0,0,0,0,373,500
Altona-Altstadt,29408,4486,15.25435256,3783,12.86384657,5757,19.57630577,11150,37.93291148,2346,52.55376344,18059,1.652749322,11314,62.65020212,2928,16.21352234,910,31.07923497,2.717872695,10820.22718,390,211,3453,3339,114,12181,56.3,1544,7.117175256,112,4.286261003,263,8.620124549,3611,12.27897171,816,20.75807683,2196,14861,30833,1611,16313,219,187,1.146325017,63.31343101,35.12078346,2320,14.22178631,1465,27,3,39.5480226,191,48,42,9,6708,228.101197
Altona-Nord,22946,3647,15.89383771,2297,10.01045934,4387,19.11880066,8365,36.51403379,1875,51.62444934,13954,1.65135445,8752,62.72036692,2299,16.47556256,651,28.31665942,2.217816773,10346.21087,331,113,3371,2901,470,9761,57,1139,6.525350902,61,2.907530982,170,7.449605609,2737,11.92800488,662,20.72636193,1617,11541,29901,1159,12084,229,123,1.017874876,63.91923204,33.66164037,1332,11.02284012,1153,14,2,37.27748691,34,6,6,5,5166,225.1372788
Altstadt,2305,277,12.01735358,256,11.10629067,506,21.95227766,990,42.91287386,182,65.70397112,1508,1.592838196,939,62.26790451,187,12.4005305,47,25.13368984,1.300347228,1772.603463,46,8,344,343,1,1127,62.8,98,5.441421433,8,4.733727811,9,4.5,244,10.5856833,63,25.40322581,136,1952,31336,99,1346,2,17,1.263001486,73.38930163,42.85553145,189,14.04160475,0,1,0,40.98360656,161,48,45,8,629,272.8850325
Bahrenfeld,31160,5216,16.7394095,3988,12.79845956,7464,23.95378691,11481,36.86542722,2606,49.99040859,16912,1.735158467,9934,58.73935667,2961,17.50827815,711,24.01215805,10.54097228,2956.084047,403,246,4824,4938,-114,12442,55.1,1347,5.932352682,140,3.985197837,203,6.937799043,3800,12.19512195,893,19.99552172,2290,14963,33565,3535,14490,46,2309,15.93512767,69.79075224,32.45404365,372,2.567287785,714,27,4,41.83098592,39,12,23,5,8654,277.7278562
Barmbek-Nord,41892,4304,10.274038,5491,13.10751456,5558,13.26744963,11292,26.97047865,2010,46.95164681,29252,1.451969096,20637,70.54902229,2958,10.11212909,808,27.31575389,3.851196067,10877.65963,511,404,5767,5553,214,21726,66.8,1643,5.038795351,112,2.683277432,304,7.409212771,3463,8.266494796,631,16.63152346,2371,23386,28330,2682,26708,83,278,1.040886626,56.65250112,36.11847131,1032,3.864010783,840,13,2,37.4749499,97,28,37,13,11164,266.4947961
Barmbek-Süd,35218,3703,10.51450963,4992,14.17456982,4721,13.40507695,9518,27.06745535,1691,46.00108814,24039,1.473563792,16571,68.93381588,2560,10.64936145,736,28.75,3.091773916,11390.8717,413,323,5109,4893,216,17672,66,1211,4.492506307,71,2.184615385,210,6.264916468,2393,6.79482083,457,13.97553517,1578,19291,32679,2110,22141,121,119,0.5374644325,59.1810668,37.20620137,721,3.25640215,877,26,3,44.34490482,54,22,26,7,9992,283.718553
Bergedorf,35669,6188,17.34839777,7147,20.03700692,5325,14.92892988,11660,32.75096905,2859,46.44249513,18117,1.887122592,8857,48.88778495,3534,19.50654082,956,27.05149972,10.35909855,3443.253276,382,390,4712,4130,582,13383,58.1,1225,5.260897574,66,1.679389313,187,4.574363992,3828,10.73200819,1084,20.6988734,2041,15979,35049,5155,16993,179,4037,23.75684105,79.35785323,37.80672292,716,4.213499676,420,23,7,46.60887302,150,39,48,11,12161,340.9403123
Bergstedt,10836,2351,21.69619786,2288,21.11480251,969,8.942414175,1924,17.73108469,653,27.82275245,4823,2.163591126,1849,38.33713456,1282,26.5809662,210,16.38065523,7.039146034,1539.391277,84,84,943,857,86,3501,52.7,210,3.169332931,25,2.187226597,48,3.566121842,660,6.090808416,221,11.49843913,291,4836,51374,2850,4580,22,2801,61.15720524,103.4019651,43.70441122,187,4.082969432,483,9,1,52.57595773,7,5,5,2,4823,445.0904393
Billbrook,2097,650,30.9966619,116,5.531711969,1635,77.96852647,1806,85.18867925,632,97.38058552,628,1.53343949,464,73.88535032,68,10.82802548,18,26.47058824,6.288611786,333.4599227,40,10,645,743,-98,493,33.5,167,11.68649405,24,7.250755287,19,10.98265896,1000,47.68717215,387,70.10869565,372,403,22625,83,284,0,72,25.35211268,65.84507042,8.917501192,0,0,248,1,1,13.3640553,0,0,0,0,297,141.6309013
Billstedt,70539,13653,19.35525029,12646,17.92767122,17768,25.18890259,40525,57.45211733,10337,76.02412297,35135,2.005123097,16421,46.73687206,7814,22.23993169,2378,30.43255695,16.9238394,4168.025843,873,694,5825,5470,355,24312,52.4,3842,8.24959203,339,4.008039726,572,6.429133416,14833,21.02808376,4459,39.38697995,6906,29100,23247,7970,31632,46,6274,19.83434497,72.34718007,32.44284722,7450,23.55209914,401,26,8,29.04085258,95,45,33,8,21704,307.6879457
Billwerder,3784,1170,30.91966173,318,8.403805497,2651,70.05813953,2716,73.14839752,1000,87.33624454,1312,2.733993902,374,28.50609756,499,38.03353659,77,15.43086172,9.469395088,399.6031388,70,18,2562,380,2182,461,29.7,25,1.008471158,3,0.4807692308,4,1.544401544,1870,49.41860465,688,69.70618034,661,643,30575,383,560,1,406,72.5,93.94285714,13.90274841,780,139.2857143,239,3,1,25.82159624,0,0,0,0,569,150.3699789
Blankenese,13491,2481,18.3900378,3722,27.58876288,1118,8.287006152,2370,17.56466316,619,24.95967742,7002,1.992716367,3203,45.74407312,1454,20.76549557,252,17.33149931,7.735771399,1743.976044,112,105,1253,1170,83,3566,46.5,129,1.671417466,12,0.9900990099,30,1.885606537,159,1.178563487,24,1.170160897,112,6279,117139,3406,6857,59,3114,45.41344611,117.0816684,59.50848714,48,0.7000145836,1670,8,3,77.55581669,112,23,24,6,6639,492.1058483
Borgfelde,7635,834,10.92337917,923,12.08906352,2201,28.82776686,3403,44.48366013,588,70.75812274,4462,1.478709099,3065,68.69116988,441,9.883460332,125,28.3446712,0.8218548059,9289.962102,72,54,1631,1530,101,3296,56,302,5.054393305,25,2.011263073,49,7.538461538,888,11.63064833,224,30.39348711,508,3643,26217,380,4379,30,43,0.9819593515,55.54304636,31.85631958,134,3.060059374,664,3,0,40.75829384,3,2,4,2,1645,215.4551408
Bramfeld,52342,7695,14.70138703,11263,21.51809255,6333,12.09927018,15227,29.11639291,3527,46.01435095,30001,1.761141295,16054,53.51154962,4942,16.47278424,1440,29.13800081,10.0658645,5199.950784,519,546,4833,4352,481,21161,61.3,1774,5.125093893,175,3.350564809,349,5.071937218,5311,10.14672729,1382,21.37664346,3019,25974,30928,9075,27970,222,7565,27.0468359,71.19138363,38.04254709,1913,6.839470862,479,24,5,42.49242752,71,31,39,10,20565,392.8967177
Rissen,15327,2825,18.43152607,4664,30.4299602,1239,8.083773733,2753,17.96176682,812,28.78411911,7785,1.983429672,3533,45.38214515,1657,21.28452152,325,19.61375981,16.70384792,917.5730091,101,221,1196,1029,167,4288,51.9,286,3.425149701,12,0.9009009009,63,3.511705686,603,3.934233705,163,7.047124946,336,7287,65855,3765,7442,55,3496,46.97661919,101.1165009,49.09695309,178,2.391830153,641,7,2,66.17954071,32,7,16,4,6741,439.8120963
Cranz,840,119,14.16666667,150,17.85714286,228,27.14285714,332,39.52380952,66,55.93220339,500,1.732,285,57,73,14.6,18,24.65753425,1.332876373,630.2159878,11,9,168,155,13,344,55.2,34,5.772495756,3,3.225806452,3,2.631578947,87,10.35714286,22,21.78217822,50,378,31335,166,398,0,143,35.92964824,87.09547739,41.26666667,0,0,231,1,1,48.64864865,2,2,0,0,354,421.4285714
Curslack,3964,833,21.01412714,603,15.21190716,702,17.70938446,1046,26.40747286,349,42.04819277,1577,2.190868738,544,34.49587825,397,25.17438174,77,19.39546599,10.57381252,374.8884324,47,32,590,586,4,1502,56.9,126,4.731505821,9,1.914893617,20,3.731343284,460,11.60443996,171,24.49856734,193,1711,41512,954,1479,26,982,66.39621366,104.8735632,39.12916246,9,0.6085192698,266,1,1,41.40625,8,5,0,1,1812,457.1140262
Dulsberg,17442,2169,12.43550052,2204,12.63616558,3767,21.59729389,7478,42.8931972,1550,71.62661738,12004,1.47934022,8522,70.99300233,1354,11.27957348,584,43.13146233,1.225829537,14228.73203,172,138,2344,2295,49,8160,60.9,1137,8.483175408,78,3.760848602,191,10.83380601,3026,17.34892788,745,40.59945504,1766,8895,21239,1074,10743,0,39,0.3630270874,53.28353346,32.81877078,1077,10.02513264,799,8,0,24.85714286,24,7,7,3,3870,221.878225
Duvenstedt,6221,1364,21.92573541,1186,19.06445909,469,7.538980871,985,15.84620335,363,26.80945347,2623,2.378955395,798,30.42317957,770,29.35569958,146,18.96103896,6.782221382,917.2510966,53,49,412,442,-30,2064,52.2,79,2.001013171,7,0.9138381201,19,2.219626168,262,4.211541553,104,9.567617295,83,2738,65694,1788,2528,15,1832,72.46835443,118.0486551,47.970905,82,3.243670886,467,2,1,63.31471136,13,5,7,3,3193,513.2615335
Eidelstedt,32601,5334,16.3614613,7197,22.07600994,5339,16.37679826,11656,35.74692551,2958,55.67476002,17329,1.884124877,8533,49.24115644,3275,18.89895551,822,25.09923664,8.722351376,3737.638922,343,392,2946,2701,245,12328,59.2,1159,5.554490559,117,3.586756591,186,4.728012201,3403,10.43833011,960,21.1546937,1757,15376,30938,5094,15913,141,4393,27.60635958,75.32753095,36.76841201,1307,8.213410419,455,10,5,39.27905531,53,16,20,5,11474,351.9523941
